,item,price,url,is_autograph,vendor,ds
0,100 PERCENT - [BANG THE BUSH] 2nd Mini Album,10.56,https://www.kpopalbums.com/collections/whats-hot/products/100-percent-bang-the-bush-2nd-mini-album-cd-photo-book-sealed-100-percent-bang-the-bush-2nd-mini-album,False,kpopalbums,2022-11-09
1,100 PERCENT - [REAL 100%] 1st Mini Album,10.56,https://www.kpopalbums.com/collections/whats-hot/products/100-percent-real-100-1st-mini-album-cd-photobook-sealed-100-100-percent-real-100-1st-mini-album,False,kpopalbums,2022-11-09
2,DAL SHABET- [ITGI EOPGI] 5th Mini Album,10.56,https://www.kpopalbums.com/collections/whats-hot/products/dal-shabet-itgi-eopgi-hate-don-t-hate-5th-mini-album-cd-card-photo-book-sealed-dal-shabet-hate-5th-mini-album,False,kpopalbums,2022-11-09
3,UP10TION - [SUMMER GO!] 4th Mini Album,11.89,https://www.kpopalbums.com/collections/whats-hot/products/up10tion-summer-go-4th-mini-album-cd-96-photo-book-card-k-pop-sealed-up10tion-summergo,False,kpopalbums,2022-11-09
4,[Doctors / 닥터스] SBS Drama OST,14.02,https://www.kpopalbums.com/collections/whats-hot/products/doctors-o-s-t-2016-korean-mbc-tv-drama-ost-cd-poster-40p-photo-book-sealed-doctors-ost,False,kpopalbums,2022-11-09
5,WINNER - [2016 WINNER EXIT TOUR IN SEOUL LIVE],17.84,https://www.kpopalbums.com/collections/whats-hot/products/winner-2016-winner-exit-tour-in-seoul-live-2-cd-1p-poster-52p-photo-book-1p-photo-card-k-pop-sealed-winner-2016winnerexittourinseoullive,False,kpopalbums,2022-11-09
6,B.I.G - [APHRODITE] 1st Mini Album,9.98,https://www.kpopalbums.com/collections/whats-hot/products/b-i-g-aphrodite-1st-mini-album-cd-photo-book-k-pop-sealed-big-aphrodite,False,kpopalbums,2022-11-09
7,SHINHWA KIM DONG WAN - [K] Live Album,33.02,https://www.kpopalbums.com/collections/whats-hot/products/shinhwa-kim-dong-wan-k-live-album-cd-dvd-150p-photo-book-k-pop-sealed-kimdongwan-k,False,kpopalbums,2022-11-09
8,UP10TION - [BRAVO!] 2nd Mini Album,10.56,https://www.kpopalbums.com/collections/whats-hot/products/up10tion-bravo-2nd-mini-album-cd-photo-book-1p-photo-card-k-pop-sealed-up10tion-bravo,False,kpopalbums,2022-11-09
9,JUNG JOON YOUNG - [SYMPATHY/공감] 1st Single Album,7.96,https://www.kpopalbums.com/collections/whats-hot/products/jung-joon-young-sympathy-1st-single-album-cd-photo-booklet-k-pop-sealed-jungjoonyoung-sympathy,False,kpopalbums,2022-11-09
10,B.A.P - [CARNIVAL] 5th Mini Album,11.89,https://www.kpopalbums.com/collections/whats-hot/products/b-a-p-carnival-5th-mini-album-cd-40p-photo-book-1p-photo-card-k-pop-sealed-bap-bap-carnival,False,kpopalbums,2022-11-09
